id,employee_code,employee_name,age,gender,city,department,job_role,education,employment_type,joining_date,experience_years,salary,performance_rating,projects_completed,status
1191,EMP01191,Employee_01191,21,Male,Chennai,Sales,Manager,MCA,Full-Time,2025-04-14,0,90015,4.2,5,Active
1192,EMP01192,Employee_01192,25,Male,Hyderabad,Sales,Tester,B.Com,Contract,2025-10-25,0,54757,4.1,12,Inactive
1193,EMP01193,Employee_01193,34,Male,Chennai,Operations,Analyst,B.Sc,Full-Time,2021-10-07,4,63198,2.5,8,Inactive
1194,EMP01194,Employee_01194,30,Female,Hyderabad,IT,Support Engineer,B.Tech,Part-Time,2022-04-15,3,123815,3.9,4,Active
1195,EMP01195,Employee_01195,34,Male,Chennai,HR,Developer,B.Com,Full-Time,2021-08-14,4,30189,3.6,12,Active
1196,EMP01196,Employee_01196,23,Female,Kolkata,Admin,Manager,MCA,Contract,2024-09-15,1,47467,4.9,7,Active
1197,EMP01197,Employee_01197,36,Male,Delhi,Operations,Analyst,MBA,Part-Time,2023-06-29,2,141073,4.7,4,On Leave
1198,EMP01198,Employee_01198,27,Male,Pune,HR,Analyst,M.Tech,Part-Time,2026-05-28,0,50986,2.7,2,Inactive
1199,EMP01199,Employee_01199,28,Female,Delhi,Admin,Tester,B.Sc,Part-Time,2021-03-07,4,77303,2.8,11,Inactive
1200,EMP01200,Employee_01200,42,Female,Hyderabad,Sales,Manager,B.Tech,Full-Time,2024-03-15,1,56068,3.7,0,On Leave
1201,EMP01201,Employee_01201,28,Female,Vijayawada,Operations,Executive,M.Tech,Contract,2020-05-19,5,60437,3.2,0,Inactive
1202,EMP01202,Employee_01202,27,Female,Bengaluru,Marketing,Support Engineer,B.Com,Full-Time,2025-01-25,0,136801,3.9,8,Inactive
1203,EMP01203,Employee_01203,36,Female,Kolkata,Marketing,Analyst,B.Com,Part-Time,2023-10-28,2,137620,4.0,10,On Leave
1204,EMP01204,Employee_01204,38,Male,Bengaluru,Marketing,Manager,B.Com,Part-Time,2020-04-14,5,51089,2.3,7,Inactive
1205,EMP01205,Employee_01205,38,Male,Guntur,Sales,Manager,M.Tech,Full-Time,2024-11-21,1,39749,4.9,8,Active
1206,EMP01206,Employee_01206,44,Male,Kochi,IT,Support Engineer,MCA,Full-Time,2022-03-24,3,110782,3.6,12,On Leave
1207,EMP01207,Employee_01207,26,Male,Kochi,Sales,Manager,MCA,Contract,2025-12-14,0,116165,2.5,10,Inactive
1208,EMP01208,Employee_01208,29,Female,Guntur,Support,Accountant,MBA,Part-Time,2022-04-08,3,30822,4.9,6,Active
1209,EMP01209,Employee_01209,21,Female,Pune,HR,Developer,MBA,Full-Time,2023-05-13,2,37626,2.8,8,Active
1210,EMP01210,Employee_01210,26,Female,Guntur,Sales,Executive,B.Com,Full-Time,2025-05-23,0,81560,3.2,2,Active
1211,EMP01211,Employee_01211,25,Male,Pune,Admin,Manager,M.Tech,Part-Time,2023-02-05,2,123235,2.4,11,Inactive
1212,EMP01212,Employee_01212,41,Male,Kochi,Admin,Executive,M.Tech,Part-Time,2020-02-14,5,48747,3.6,8,Inactive
1213,EMP01213,Employee_01213,38,Female,Mumbai,IT,HR Executive,B.Com,Full-Time,2021-05-26,4,137109,2.5,12,On Leave
1214,EMP01214,Employee_01214,34,Female,Mumbai,Sales,Analyst,B.Tech,Contract,2025-03-25,0,62159,4.6,11,On Leave
1215,EMP01215,Employee_01215,28,Female,Hyderabad,HR,Tester,M.Tech,Contract,2024-01-25,1,147638,4.5,6,Inactive
1216,EMP01216,Employee_01216,41,Female,Bengaluru,IT,Analyst,M.Tech,Part-Time,2022-10-27,3,104200,3.3,4,Active
1217,EMP01217,Employee_01217,36,Female,Bengaluru,Admin,HR Executive,MCA,Contract,2026-07-27,0,76035,3.8,10,On Leave
1218,EMP01218,Employee_01218,22,Male,Kochi,HR,Analyst,B.Sc,Part-Time,2024-04-16,1,46258,3.8,12,On Leave
1219,EMP01219,Employee_01219,33,Female,Vijayawada,IT,HR Executive,M.Tech,Contract,2024-09-23,1,28450,3.0,12,Inactive
1220,EMP01220,Employee_01220,27,Male,Mumbai,Support,Developer,M.Tech,Part-Time,2020-04-15,5,65379,2.1,5,Inactive
1221,EMP01221,Employee_01221,42,Female,Vijayawada,IT,Support Engineer,MBA,Contract,2024-01-08,1,108190,3.1,3,On Leave
1222,EMP01222,Employee_01222,45,Female,Guntur,Operations,Manager,MBA,Full-Time,2022-12-13,3,60098,2.6,12,Inactive
1223,EMP01223,Employee_01223,40,Male,Bengaluru,Support,Support Engineer,MCA,Part-Time,2023-12-11,2,77656,2.9,4,On Leave
1224,EMP01224,Employee_01224,45,Female,Delhi,Operations,Accountant,B.Com,Full-Time,2022-02-01,3,118321,2.6,11,Active
1225,EMP01225,Employee_01225,21,Female,Kolkata,Finance,HR Executive,MCA,Contract,2023-08-15,2,47223,2.6,4,Active
1226,EMP01226,Employee_01226,23,Female,Mumbai,Finance,Support Engineer,MCA,Part-Time,2022-03-24,3,41735,4.1,10,Inactive
1227,EMP01227,Employee_01227,33,Female,Kochi,HR,Support Engineer,B.Sc,Part-Time,2021-06-28,4,45164,4.5,11,Active
1228,EMP01228,Employee_01228,38,Male,Vijayawada,Sales,Executive,B.Sc,Full-Time,2022-10-04,3,58635,4.0,4,Inactive
1229,EMP01229,Employee_01229,25,Female,Vijayawada,Support,Executive,MBA,Full-Time,2022-06-03,3,21255,2.9,0,On Leave
1230,EMP01230,Employee_01230,33,Female,Mumbai,Support,Support Engineer,B.Com,Full-Time,2026-07-07,0,119476,4.2,11,Inactive
1231,EMP01231,Employee_01231,32,Female,Pune,Finance,Analyst,MCA,Contract,2026-01-22,0,38195,4.9,2,Inactive
1232,EMP01232,Employee_01232,31,Male,Delhi,Sales,Accountant,B.Com,Contract,2026-01-01,0,45474,4.4,9,Active
1233,EMP01233,Employee_01233,40,Male,Chennai,IT,Accountant,MCA,Contract,2025-02-28,0,132785,3.5,6,Active
1234,EMP01234,Employee_01234,36,Male,Mumbai,Marketing,Developer,M.Tech,Contract,2023-11-24,2,56765,2.2,5,Inactive
1235,EMP01235,Employee_01235,43,Female,Mumbai,Marketing,Support Engineer,B.Sc,Contract,2024-10-30,1,52958,5.0,3,On Leave
1236,EMP01236,Employee_01236,25,Male,Delhi,HR,Analyst,MCA,Full-Time,2024-07-25,1,100433,4.6,9,On Leave
1237,EMP01237,Employee_01237,44,Male,Chennai,IT,Accountant,M.Tech,Full-Time,2024-08-21,1,60259,4.2,3,Inactive
1238,EMP01238,Employee_01238,24,Female,Guntur,Support,Accountant,B.Sc,Part-Time,2020-12-30,5,123789,3.7,10,Active
1239,EMP01239,Employee_01239,30,Female,Vijayawada,HR,Manager,B.Com,Part-Time,2021-01-27,4,111102,2.5,6,Active
1240,EMP01240,Employee_01240,32,Male,Kolkata,Marketing,Developer,MCA,Full-Time,2022-07-17,3,39382,3.0,12,On Leave
1241,EMP01241,Employee_01241,42,Male,Hyderabad,Operations,HR Executive,B.Com,Full-Time,2020-08-30,5,115818,2.3,0,On Leave
1242,EMP01242,Employee_01242,32,Female,Chennai,Sales,Support Engineer,B.Tech,Contract,2026-04-26,0,36189,4.9,3,Active
1243,EMP01243,Employee_01243,39,Male,Kolkata,Finance,Accountant,B.Tech,Contract,2024-03-12,1,64380,4.7,11,Active
1244,EMP01244,Employee_01244,24,Female,Chennai,Finance,Analyst,MBA,Full-Time,2026-01-10,0,99701,4.8,1,On Leave
1245,EMP01245,Employee_01245,40,Female,Vijayawada,HR,Analyst,B.Com,Full-Time,2021-09-27,4,106446,4.8,10,Inactive
1246,EMP01246,Employee_01246,28,Male,Delhi,IT,Accountant,M.Tech,Contract,2021-08-02,4,146651,2.6,6,On Leave
1247,EMP01247,Employee_01247,37,Female,Kolkata,Sales,Tester,B.Com,Full-Time,2021-02-08,4,41842,4.0,5,Inactive
1248,EMP01248,Employee_01248,30,Male,Vijayawada,IT,Accountant,B.Tech,Part-Time,2022-03-22,3,129757,3.2,6,On Leave
1249,EMP01249,Employee_01249,40,Female,Hyderabad,IT,Executive,B.Tech,Part-Time,2025-06-05,0,119923,2.9,12,On Leave
1250,EMP01250,Employee_01250,38,Male,Kolkata,IT,Developer,B.Com,Part-Time,2026-05-28,0,63444,3.9,11,Active
1251,EMP01251,Employee_01251,38,Female,Kolkata,Finance,Support Engineer,M.Tech,Contract,2023-12-11,2,31745,4.5,10,Active
1252,EMP01252,Employee_01252,24,Female,Bengaluru,Sales,Accountant,B.Sc,Contract,2022-05-28,3,137861,4.8,3,On Leave
1253,EMP01253,Employee_01253,22,Male,Mumbai,IT,Executive,M.Tech,Part-Time,2020-03-04,5,118004,2.6,11,Active
1254,EMP01254,Employee_01254,28,Male,Chennai,Finance,Executive,MCA,Contract,2024-05-16,1,115460,4.8,6,Inactive
1255,EMP01255,Employee_01255,42,Female,Guntur,IT,HR Executive,MBA,Part-Time,2024-09-27,1,99196,2.6,10,Inactive
1256,EMP01256,Employee_01256,45,Female,Hyderabad,Admin,Manager,M.Tech,Contract,2022-02-15,3,145983,2.8,0,Active
1257,EMP01257,Employee_01257,41,Female,Bengaluru,Finance,Support Engineer,B.Sc,Contract,2020-10-15,5,47984,2.3,12,Inactive
1258,EMP01258,Employee_01258,30,Female,Bengaluru,HR,HR Executive,B.Sc,Full-Time,2024-06-19,1,93088,2.9,9,On Leave
1259,EMP01259,Employee_01259,27,Female,Vijayawada,HR,Analyst,B.Sc,Full-Time,2025-08-01,0,51322,3.6,0,Inactive
1260,EMP01260,Employee_01260,23,Female,Vijayawada,Finance,Accountant,MCA,Full-Time,2022-01-25,3,35668,2.7,9,On Leave
1261,EMP01261,Employee_01261,45,Female,Hyderabad,IT,Manager,B.Com,Part-Time,2025-08-24,0,67537,4.3,11,Active
1262,EMP01262,Employee_01262,35,Female,Guntur,Finance,Tester,MCA,Full-Time,2023-12-05,2,70599,4.7,0,Active
1263,EMP01263,Employee_01263,41,Female,Hyderabad,Admin,Analyst,B.Sc,Contract,2022-01-23,3,68944,3.0,11,On Leave
1264,EMP01264,Employee_01264,38,Male,Bengaluru,HR,HR Executive,MCA,Contract,2023-03-24,2,60230,2.4,5,Active
1265,EMP01265,Employee_01265,44,Male,Pune,IT,HR Executive,B.Tech,Contract,2021-11-26,4,102320,3.1,2,Active
1266,EMP01266,Employee_01266,45,Male,Kochi,HR,Developer,M.Tech,Part-Time,2024-05-06,1,49363,4.6,12,On Leave
1267,EMP01267,Employee_01267,30,Male,Vijayawada,Marketing,Support Engineer,M.Tech,Part-Time,2024-04-30,1,119388,3.3,11,Inactive
1268,EMP01268,Employee_01268,35,Male,Guntur,Marketing,Manager,B.Com,Contract,2021-09-19,4,112407,2.7,4,Active
1269,EMP01269,Employee_01269,30,Male,Guntur,Finance,Support Engineer,B.Sc,Part-Time,2024-11-03,1,55744,2.1,6,Inactive
1270,EMP01270,Employee_01270,35,Female,Delhi,Operations,Support Engineer,M.Tech,Part-Time,2024-09-07,1,136570,3.3,6,Active
1271,EMP01271,Employee_01271,27,Male,Kochi,Operations,Accountant,MCA,Part-Time,2025-12-10,0,82489,2.7,3,Inactive
1272,EMP01272,Employee_01272,27,Female,Mumbai,Support,Developer,B.Sc,Full-Time,2023-06-11,2,120977,2.4,1,Inactive
1273,EMP01273,Employee_01273,26,Male,Vijayawada,IT,Executive,MBA,Contract,2026-03-09,0,118739,4.8,6,On Leave
1274,EMP01274,Employee_01274,29,Male,Chennai,Support,Support Engineer,MBA,Full-Time,2021-12-06,4,58856,3.9,9,On Leave
1275,EMP01275,Employee_01275,45,Male,Bengaluru,HR,Analyst,B.Tech,Full-Time,2021-06-18,4,145581,2.9,12,Active
1276,EMP01276,Employee_01276,23,Male,Chennai,Sales,Tester,B.Tech,Part-Time,2023-09-19,2,100128,4.8,5,On Leave
1277,EMP01277,Employee_01277,39,Male,Mumbai,Marketing,Analyst,MCA,Full-Time,2023-07-16,2,135077,3.4,11,Active
1278,EMP01278,Employee_01278,34,Female,Chennai,Admin,Tester,M.Tech,Full-Time,2021-10-30,4,49048,3.6,9,Active
1279,EMP01279,Employee_01279,35,Female,Vijayawada,Support,Accountant,B.Sc,Full-Time,2021-08-23,4,43446,4.3,2,On Leave
1280,EMP01280,Employee_01280,35,Female,Kochi,Operations,Support Engineer,B.Tech,Part-Time,2024-01-24,1,65666,3.3,0,Active
1281,EMP01281,Employee_01281,25,Male,Pune,Operations,Tester,M.Tech,Full-Time,2021-12-26,4,96670,4.0,2,Inactive
1282,EMP01282,Employee_01282,21,Female,Pune,Marketing,Developer,MBA,Part-Time,2025-07-19,0,127507,5.0,5,Active
1283,EMP01283,Employee_01283,41,Female,Guntur,Operations,Developer,B.Com,Contract,2020-08-01,5,80601,4.1,4,On Leave
1284,EMP01284,Employee_01284,42,Male,Kochi,IT,Developer,B.Com,Part-Time,2025-02-19,0,39035,3.0,0,Active
1285,EMP01285,Employee_01285,33,Female,Guntur,Operations,Support Engineer,MCA,Part-Time,2025-04-09,0,119815,2.1,10,Inactive
1286,EMP01286,Employee_01286,25,Male,Vijayawada,Marketing,Tester,B.Tech,Part-Time,2023-11-02,2,108764,4.2,8,On Leave
1287,EMP01287,Employee_01287,42,Male,Chennai,HR,Executive,B.Tech,Full-Time,2020-12-13,5,101522,4.6,1,Inactive
1288,EMP01288,Employee_01288,25,Male,Hyderabad,Operations,Analyst,B.Sc,Contract,2020-09-23,5,80113,4.3,1,On Leave
1289,EMP01289,Employee_01289,41,Male,Hyderabad,Finance,Executive,M.Tech,Full-Time,2025-03-02,0,104743,4.4,1,Active
1290,EMP01290,Employee_01290,43,Male,Pune,IT,Analyst,MBA,Part-Time,2021-01-10,4,42008,2.0,12,On Leave
1291,EMP01291,Employee_01291,27,Female,Kochi,Finance,Accountant,B.Com,Contract,2025-12-08,0,142792,4.5,11,On Leave
1292,EMP01292,Employee_01292,35,Male,Pune,Marketing,Manager,MCA,Contract,2020-09-07,5,66477,3.5,1,Active
1293,EMP01293,Employee_01293,43,Male,Chennai,Support,Tester,MCA,Part-Time,2021-05-22,4,37865,2.6,5,On Leave
1294,EMP01294,Employee_01294,27,Male,Kolkata,IT,Tester,B.Com,Full-Time,2023-03-15,2,129810,2.8,5,Active
1295,EMP01295,Employee_01295,23,Male,Kochi,Support,Analyst,M.Tech,Contract,2020-09-09,5,147478,3.0,11,Inactive
1296,EMP01296,Employee_01296,44,Female,Kochi,HR,Tester,M.Tech,Part-Time,2020-02-19,5,41129,3.0,12,Inactive
1297,EMP01297,Employee_01297,44,Female,Delhi,Sales,Executive,MCA,Full-Time,2024-01-06,1,143946,3.1,4,Active
1298,EMP01298,Employee_01298,34,Female,Vijayawada,Admin,Accountant,B.Sc,Full-Time,2023-12-16,2,139882,4.6,5,On Leave
1299,EMP01299,Employee_01299,34,Female,Guntur,Finance,HR Executive,B.Com,Full-Time,2024-04-28,1,24417,4.6,12,Inactive
1300,EMP01300,Employee_01300,25,Female,Vijayawada,Finance,Tester,B.Com,Full-Time,2021-12-08,4,66210,2.7,0,Active
1301,EMP01301,Employee_01301,33,Female,Pune,Sales,Accountant,MCA,Contract,2025-07-30,0,59501,2.9,8,Inactive
1302,EMP01302,Employee_01302,34,Male,Delhi,HR,Analyst,B.Com,Contract,2024-11-07,1,59896,3.5,10,Inactive
1303,EMP01303,Employee_01303,25,Male,Guntur,Admin,Developer,B.Com,Contract,2023-03-31,2,79643,3.6,7,Active
1304,EMP01304,Employee_01304,41,Male,Kochi,Finance,Tester,B.Com,Contract,2023-10-18,2,99425,4.1,6,Inactive
1305,EMP01305,Employee_01305,32,Female,Guntur,Sales,Executive,B.Com,Contract,2021-06-08,4,142131,2.2,7,Active
1306,EMP01306,Employee_01306,41,Female,Kochi,Operations,Executive,B.Sc,Part-Time,2023-07-04,2,142829,4.4,8,On Leave
1307,EMP01307,Employee_01307,28,Female,Kochi,Admin,Developer,B.Com,Contract,2026-06-02,0,80132,4.4,3,Active
1308,EMP01308,Employee_01308,45,Female,Vijayawada,Marketing,Analyst,MBA,Part-Time,2024-04-22,1,56890,3.9,1,Active
1309,EMP01309,Employee_01309,43,Male,Vijayawada,Sales,Executive,M.Tech,Full-Time,2023-02-05,2,55508,3.1,12,Inactive
1310,EMP01310,Employee_01310,40,Female,Delhi,Admin,Support Engineer,MCA,Contract,2023-12-29,2,144498,3.7,12,Active
1311,EMP01311,Employee_01311,40,Male,Kolkata,Marketing,Executive,MBA,Part-Time,2022-02-09,3,49552,2.9,0,On Leave
1312,EMP01312,Employee_01312,30,Male,Hyderabad,Support,Analyst,B.Com,Part-Time,2020-02-14,5,86416,2.6,4,Active
1313,EMP01313,Employee_01313,41,Female,Delhi,HR,Tester,MBA,Part-Time,2025-01-03,0,118144,3.7,9,Active
1314,EMP01314,Employee_01314,30,Male,Bengaluru,IT,Support Engineer,MCA,Part-Time,2025-01-30,0,60703,3.8,5,Inactive
1315,EMP01315,Employee_01315,31,Female,Delhi,Support,Manager,B.Com,Contract,2021-08-03,4,116311,3.7,10,Active
1316,EMP01316,Employee_01316,31,Male,Vijayawada,HR,Analyst,B.Sc,Full-Time,2023-03-04,2,28323,4.6,0,Active
1317,EMP01317,Employee_01317,26,Female,Delhi,HR,HR Executive,B.Com,Full-Time,2025-11-11,0,79607,2.3,5,Inactive
1318,EMP01318,Employee_01318,38,Female,Chennai,HR,Executive,MBA,Full-Time,2024-06-28,1,34292,3.6,10,Active
1319,EMP01319,Employee_01319,28,Male,Hyderabad,Sales,Accountant,B.Tech,Full-Time,2022-12-04,3,80721,2.2,10,Active
1320,EMP01320,Employee_01320,25,Female,Guntur,IT,Tester,MBA,Full-Time,2022-08-10,3,54090,3.5,5,On Leave
1321,EMP01321,Employee_01321,38,Male,Pune,Sales,Accountant,B.Tech,Part-Time,2024-08-26,1,35815,2.1,9,On Leave
1322,EMP01322,Employee_01322,39,Female,Pune,Finance,Developer,M.Tech,Contract,2020-11-26,5,114499,3.5,2,On Leave
1323,EMP01323,Employee_01323,29,Male,Kochi,Marketing,Support Engineer,B.Sc,Part-Time,2023-02-26,2,116120,3.5,2,Inactive
1324,EMP01324,Employee_01324,24,Female,Pune,Finance,Analyst,B.Tech,Part-Time,2024-05-27,1,92811,3.4,7,Active
1325,EMP01325,Employee_01325,27,Male,Kochi,Marketing,Support Engineer,MBA,Full-Time,2022-04-22,3,96278,4.5,10,On Leave
1326,EMP01326,Employee_01326,39,Female,Hyderabad,Sales,Manager,B.Com,Full-Time,2022-07-30,3,84147,2.7,0,Inactive
1327,EMP01327,Employee_01327,44,Male,Vijayawada,Admin,Tester,M.Tech,Full-Time,2024-05-10,1,103815,3.4,6,Active
1328,EMP01328,Employee_01328,21,Female,Hyderabad,Marketing,Accountant,MBA,Contract,2021-03-15,4,26178,3.9,0,On Leave
1329,EMP01329,Employee_01329,24,Male,Guntur,Operations,Analyst,B.Com,Part-Time,2021-10-15,4,32034,3.1,10,On Leave
1330,EMP01330,Employee_01330,30,Male,Mumbai,Admin,Executive,B.Tech,Contract,2020-04-01,5,27173,4.7,4,On Leave
1331,EMP01331,Employee_01331,36,Male,Vijayawada,Marketing,Tester,B.Tech,Contract,2020-05-04,5,63765,2.0,1,On Leave
1332,EMP01332,Employee_01332,23,Female,Hyderabad,IT,Accountant,MBA,Part-Time,2025-05-18,0,58185,2.6,6,Inactive
1333,EMP01333,Employee_01333,21,Female,Mumbai,Admin,Executive,B.Com,Full-Time,2021-12-17,4,29543,4.0,12,On Leave
1334,EMP01334,Employee_01334,27,Male,Hyderabad,Support,Accountant,B.Sc,Contract,2023-01-18,2,79556,4.1,12,On Leave
1335,EMP01335,Employee_01335,30,Female,Vijayawada,Finance,Support Engineer,M.Tech,Part-Time,2020-07-12,5,113429,2.3,5,On Leave
1336,EMP01336,Employee_01336,38,Female,Guntur,Finance,HR Executive,B.Com,Part-Time,2026-03-06,0,56193,3.0,10,Inactive
1337,EMP01337,Employee_01337,25,Female,Guntur,HR,Tester,B.Sc,Part-Time,2023-04-12,2,147633,4.0,6,Inactive
1338,EMP01338,Employee_01338,35,Male,Kochi,Operations,Manager,MCA,Full-Time,2025-03-26,0,61064,4.7,5,Active
1339,EMP01339,Employee_01339,23,Male,Kolkata,HR,Developer,B.Com,Contract,2024-06-11,1,127832,4.6,8,On Leave
1340,EMP01340,Employee_01340,44,Female,Vijayawada,HR,Support Engineer,M.Tech,Part-Time,2021-11-05,4,77449,4.1,12,On Leave
1341,EMP01341,Employee_01341,37,Female,Bengaluru,Sales,Accountant,B.Sc,Contract,2024-06-05,1,120970,2.7,5,Active
1342,EMP01342,Employee_01342,37,Female,Pune,Support,Tester,B.Sc,Contract,2020-01-03,6,46259,3.5,1,On Leave
1343,EMP01343,Employee_01343,27,Male,Pune,Finance,Analyst,B.Tech,Part-Time,2021-01-30,4,24161,2.0,4,Inactive
1344,EMP01344,Employee_01344,34,Female,Delhi,Support,Support Engineer,B.Sc,Part-Time,2021-05-02,4,111720,4.0,0,Inactive
1345,EMP01345,Employee_01345,41,Female,Delhi,Operations,Developer,B.Com,Contract,2025-05-13,0,28977,4.0,0,Inactive
1346,EMP01346,Employee_01346,45,Female,Vijayawada,IT,HR Executive,B.Tech,Part-Time,2024-04-20,1,43691,3.3,9,Active
1347,EMP01347,Employee_01347,29,Male,Vijayawada,Support,Support Engineer,B.Sc,Contract,2025-04-29,0,42130,2.2,11,Inactive
1348,EMP01348,Employee_01348,31,Female,Pune,Support,Analyst,B.Tech,Contract,2020-05-20,5,99215,3.7,11,Active
1349,EMP01349,Employee_01349,37,Female,Mumbai,Support,Developer,B.Com,Contract,2020-04-25,5,134504,2.2,2,Active
1350,EMP01350,Employee_01350,36,Male,Hyderabad,Marketing,Support Engineer,MBA,Full-Time,2025-10-17,0,63591,4.7,4,On Leave
1351,EMP01351,Employee_01351,23,Male,Guntur,Finance,HR Executive,B.Tech,Part-Time,2021-09-26,4,70198,3.4,3,Active
1352,EMP01352,Employee_01352,31,Male,Bengaluru,Finance,Manager,B.Sc,Contract,2022-07-04,3,147329,2.7,7,On Leave
1353,EMP01353,Employee_01353,21,Female,Hyderabad,Operations,Analyst,MBA,Part-Time,2026-04-24,0,132844,3.5,12,Active
1354,EMP01354,Employee_01354,34,Female,Delhi,Admin,HR Executive,MCA,Full-Time,2023-02-16,2,128691,2.2,1,Active
1355,EMP01355,Employee_01355,21,Male,Vijayawada,Operations,Tester,MBA,Full-Time,2021-05-10,4,60466,2.3,2,On Leave
1356,EMP01356,Employee_01356,39,Male,Pune,Finance,Tester,B.Sc,Contract,2022-01-29,3,126332,2.3,0,On Leave
1357,EMP01357,Employee_01357,21,Male,Bengaluru,Marketing,Developer,B.Com,Full-Time,2024-05-19,1,115480,2.2,12,Inactive
1358,EMP01358,Employee_01358,36,Female,Vijayawada,Sales,Analyst,B.Sc,Part-Time,2022-09-25,3,73983,2.6,7,On Leave
1359,EMP01359,Employee_01359,23,Male,Bengaluru,Admin,Analyst,MCA,Full-Time,2026-01-26,0,56302,4.0,8,Active
1360,EMP01360,Employee_01360,41,Female,Hyderabad,Support,Developer,B.Com,Part-Time,2024-08-20,1,112823,4.8,4,Active
1361,EMP01361,Employee_01361,42,Male,Chennai,Admin,HR Executive,M.Tech,Contract,2022-02-27,3,115958,3.2,9,Active
1362,EMP01362,Employee_01362,40,Female,Kochi,IT,HR Executive,B.Tech,Contract,2022-09-15,3,93399,3.5,1,Active
1363,EMP01363,Employee_01363,45,Female,Vijayawada,Operations,Tester,MCA,Contract,2021-08-19,4,28472,3.1,6,Inactive
1364,EMP01364,Employee_01364,36,Male,Vijayawada,Operations,Analyst,M.Tech,Part-Time,2023-06-16,2,145870,3.2,11,Inactive
1365,EMP01365,Employee_01365,37,Female,Mumbai,Sales,Support Engineer,B.Com,Full-Time,2025-12-22,0,34497,2.8,4,On Leave
1366,EMP01366,Employee_01366,32,Female,Mumbai,Marketing,HR Executive,M.Tech,Contract,2022-02-22,3,98307,2.6,5,Active
1367,EMP01367,Employee_01367,45,Female,Kolkata,Operations,Executive,MBA,Contract,2021-07-24,4,95336,2.6,10,On Leave
1368,EMP01368,Employee_01368,24,Female,Chennai,Admin,Support Engineer,B.Sc,Part-Time,2021-12-11,4,94404,3.9,3,Inactive
1369,EMP01369,Employee_01369,39,Female,Kochi,HR,Tester,B.Tech,Part-Time,2023-01-13,2,138344,3.6,2,On Leave
1370,EMP01370,Employee_01370,21,Female,Vijayawada,Marketing,HR Executive,B.Sc,Part-Time,2024-05-29,1,35444,2.6,4,Active
1371,EMP01371,Employee_01371,41,Female,Guntur,Operations,Analyst,B.Sc,Full-Time,2024-10-17,1,146335,3.8,7,Active
1372,EMP01372,Employee_01372,45,Female,Bengaluru,Marketing,Manager,B.Tech,Contract,2024-01-20,1,32287,2.1,1,On Leave
1373,EMP01373,Employee_01373,27,Male,Hyderabad,HR,Support Engineer,MCA,Contract,2024-09-29,1,28469,4.7,9,Inactive
1374,EMP01374,Employee_01374,34,Female,Kolkata,Operations,Executive,B.Sc,Full-Time,2023-03-10,2,81092,2.7,9,On Leave
1375,EMP01375,Employee_01375,31,Male,Kolkata,IT,Manager,B.Tech,Contract,2026-07-20,0,75638,2.5,6,On Leave
1376,EMP01376,Employee_01376,36,Male,Pune,Admin,Manager,B.Sc,Full-Time,2023-01-09,2,50653,2.3,6,Inactive
1377,EMP01377,Employee_01377,21,Female,Vijayawada,Sales,Executive,B.Tech,Full-Time,2021-03-15,4,80592,4.0,6,Inactive
1378,EMP01378,Employee_01378,35,Female,Hyderabad,Marketing,Executive,M.Tech,Part-Time,2024-12-24,1,57422,4.2,6,Inactive
1379,EMP01379,Employee_01379,31,Female,Vijayawada,Sales,Support Engineer,B.Sc,Contract,2025-11-16,0,102431,2.1,8,Active
1380,EMP01380,Employee_01380,26,Female,Guntur,Marketing,Executive,M.Tech,Part-Time,2024-03-26,1,123907,2.6,5,Active
1381,EMP01381,Employee_01381,40,Male,Bengaluru,Admin,Developer,MBA,Contract,2024-04-03,1,141132,4.9,10,Inactive
1382,EMP01382,Employee_01382,33,Female,Guntur,HR,HR Executive,B.Com,Part-Time,2024-01-12,1,23372,3.5,11,Active
1383,EMP01383,Employee_01383,32,Male,Kochi,Sales,Developer,MBA,Part-Time,2023-01-07,2,86120,3.4,2,Active
1384,EMP01384,Employee_01384,23,Male,Mumbai,HR,Tester,MBA,Full-Time,2022-07-25,3,59616,2.3,11,Inactive
1385,EMP01385,Employee_01385,34,Male,Guntur,Marketing,Manager,MCA,Full-Time,2021-08-03,4,91010,4.6,2,Active
1386,EMP01386,Employee_01386,40,Male,Mumbai,Admin,HR Executive,B.Sc,Full-Time,2021-01-12,4,31669,3.7,12,Active
1387,EMP01387,Employee_01387,40,Female,Chennai,HR,Accountant,MCA,Part-Time,2022-03-11,3,38197,2.2,1,On Leave
1388,EMP01388,Employee_01388,25,Female,Chennai,Marketing,Developer,MCA,Contract,2022-01-02,4,66970,2.7,0,Active
1389,EMP01389,Employee_01389,25,Male,Pune,Operations,Tester,MBA,Full-Time,2024-06-01,1,61778,2.1,2,Inactive
1390,EMP01390,Employee_01390,43,Male,Bengaluru,Support,Manager,B.Tech,Part-Time,2021-12-18,4,46803,4.1,2,Inactive
1391,EMP01391,Employee_01391,36,Female,Kolkata,Admin,Support Engineer,MCA,Contract,2025-12-06,0,121551,3.7,11,On Leave
1392,EMP01392,Employee_01392,45,Male,Kolkata,Admin,Manager,B.Tech,Full-Time,2024-07-17,1,83910,3.6,6,Active
1393,EMP01393,Employee_01393,30,Female,Guntur,Marketing,Support Engineer,B.Tech,Part-Time,2024-02-14,1,48287,3.8,6,Inactive
1394,EMP01394,Employee_01394,45,Male,Vijayawada,Finance,Tester,MBA,Full-Time,2022-03-24,3,22205,2.6,12,Active
